stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
55375,55375,Saint-François / Vanden-Abeele,45.485492,-73.741056,https://www.stm.info/fr/recherche#stq=55375,0,,1
55376,55376,Transcanadienne / No 8625,45.491473,-73.735406,https://www.stm.info/fr/recherche#stq=55376,0,,1
55377,55377,Brabant-Marineau / Botham,45.498912,-73.743213,https://www.stm.info/fr/recherche#stq=55377,0,,1
55378,55378,Brabant-Marineau / Botham,45.499078,-73.743734,https://www.stm.info/fr/recherche#stq=55378,0,,1
55379,55379,Henri-Bourassa / Thimens,45.504713,-73.741215,https://www.stm.info/fr/recherche#stq=55379,0,,1
55380,55380,Brabant-Marineau / Bois-Franc,45.497581,-73.741129,https://www.stm.info/fr/recherche#stq=55380,0,,2
55381,55381,Brabant-Marineau / Bois-Franc,45.497259,-73.740886,https://www.stm.info/fr/recherche#stq=55381,0,,2
55382,55382,Bois-Franc / No 4800,45.498014,-73.739520,https://www.stm.info/fr/recherche#stq=55382,0,,2
55383,55383,Cohen / Bois-Franc,45.498501,-73.737637,https://www.stm.info/fr/recherche#stq=55383,0,,2
55384,55384,Bois-Franc / No 4800,45.498402,-73.739156,https://www.stm.info/fr/recherche#stq=55384,0,,2
55385,55385,Henri-Bourassa / Guénette,45.506412,-73.738876,https://www.stm.info/fr/recherche#stq=55385,0,,1
55386,55386,Guénette / Henri-Bourassa,45.506320,-73.738416,https://www.stm.info/fr/recherche#stq=55386,0,,1
55387,55387,Thimens / Cousens,45.502893,-73.736642,https://www.stm.info/fr/recherche#stq=55387,0,,1
55388,55388,Centre de transport St-Laurent (Thimens / Cousens),45.502450,-73.735952,https://www.stm.info/fr/recherche#stq=55388,0,,1
55389,55389,Cousens / Thimens,45.502204,-73.737934,https://www.stm.info/fr/recherche#stq=55389,0,,2
55390,55390,Toupin / L'Heureux,45.522042,-73.733118,https://www.stm.info/fr/recherche#stq=55390,0,,1
55391,55391,Toupin / L'Heureux,45.522086,-73.733526,https://www.stm.info/fr/recherche#stq=55391,0,,1
55392,55392,Henri-Bourassa / Félix-Leclerc,45.509841,-73.734689,https://www.stm.info/fr/recherche#stq=55392,0,,1
55393,55393,Henri-Bourassa / Félix-Leclerc,45.509401,-73.734777,https://www.stm.info/fr/recherche#stq=55393,0,,1
55394,55394,Thimens / Bois-Franc,45.500934,-73.733582,https://www.stm.info/fr/recherche#stq=55394,0,,1
55395,55395,Bois-Franc / Thimens,45.501134,-73.733730,https://www.stm.info/fr/recherche#stq=55395,0,,2
55396,55396,Bois-Franc / Thimens,45.500917,-73.733834,https://www.stm.info/fr/recherche#stq=55396,0,,1
55397,55397,Thimens / No 5550,45.499042,-73.732052,https://www.stm.info/fr/recherche#stq=55397,0,,1
55399,55399,Toupin / Métivier,45.520759,-73.731455,https://www.stm.info/fr/recherche#stq=55399,0,,1
55400,55400,Toupin / Machabée,45.520383,-73.730512,https://www.stm.info/fr/recherche#stq=55400,0,,1
55401,55401,Toupin / Trépanier,45.519791,-73.729920,https://www.stm.info/fr/recherche#stq=55401,0,,1
55402,55402,Henri-Bourassa / Sartelon,45.511875,-73.730173,https://www.stm.info/fr/recherche#stq=55402,0,,1
55403,55403,Henri-Bourassa / Sartelon,45.511630,-73.730734,https://www.stm.info/fr/recherche#stq=55403,0,,1
